x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.1441407	0.345	-0.1	0.038
15	11	0.1548685	0.345	-0.1	0.038
15	11	0.1615409	0.345	-0.1	0.038
15	11	0.1664314	0.345	-0.1	0.038
15	11	0.1712732	0.345	-0.1	0.038
15	11	0.1754708	0.345	-0.1	0.038
15	11	0.1802837	0.345	-0.1	0.038
15	11	0.1854707	0.345	-0.1	0.038
15	11	0.1898267	0.345	-0.1	0.038
15	11	0.1948007	0.345	-0.1	0.038
15	11	0.2004785	0.345	-0.1	0.038
15	11	0.2054431	0.345	-0.1	0.038
15	11	0.2104919	0.345	-0.1	0.038
15	11	0.2158145	0.345	-0.1	0.038
15	11	0.2205246	0.345	-0.1	0.038
15	11	0.2252204	0.345	-0.1	0.038
15	11	0.2306023	0.345	-0.1	0.038
15	11	0.2352554	0.345	-0.1	0.038
15	11	0.2399503	0.345	-0.1	0.038
15	11	0.2452188	0.345	-0.1	0.038
15	11	0.2498131	0.345	-0.1	0.038
15	11	0.2875706	0.345	-0.1	0.038
15	11	0.2936591	0.345	-0.1	0.038
15	11	0.2987241	0.345	-0.1	0.038
15	11	0.3033861	0.345	-0.1	0.038
15	11	0.3086917	0.345	-0.1	0.038
15	11	0.3134912	0.345	-0.1	0.038
15	11	0.3182082	0.345	-0.1	0.038
15	11	0.3229673	0.345	-0.1	0.038
15	11	0.3278857	0.345	-0.1	0.038
15	11	0.3323466	0.345	-0.1	0.038
15	11	0.3368098	0.345	-0.1	0.038
15	11	0.341651	0.345	-0.1	0.038
15	11	0.3464629	0.345	-0.1	0.038
15	11	0.3510056	0.345	-0.1	0.038
15	11	0.3556444	0.345	-0.1	0.038
15	11	0.3601784	0.345	-0.1	0.038
15	11	0.3650751	0.345	-0.1	0.038
15	11	0.3697774	0.345	-0.1	0.038
15	11	0.3741462	0.345	-0.1	0.038
15	11	0.379735	0.345	-0.1	0.038
15	11	0.3846843	0.345	-0.1	0.038
15	11	0.3892992	0.345	-0.1	0.038
15	11	0.3938875	0.345	-0.1	0.038
15	11	0.3985261	0.345	-0.1	0.038
15	11	0.4031106	0.345	-0.1	0.038
15	11	0.408185	0.345	-0.1	0.038
15	11	0.41274	0.345	-0.1	0.038
15	11	0.4180143	0.345	-0.1	0.038
15	11	0.4226143	0.345	-0.1	0.038
15	11	0.4275041	0.345	-0.1	0.038
15	11	0.4327978	0.345	-0.1	0.038
15	11	0.4377779	0.345	-0.1	0.038
15	11	0.4428456	0.345	-0.1	0.038
15	11	0.4489999	0.345	-0.1	0.038
15	11	0.453647	0.345	-0.1	0.038
15	11	0.4587342	0.345	-0.1	0.038
15	11	0.4642344	0.345	-0.1	0.038
15	11	0.4688264	0.345	-0.1	0.038
15	11	0.473325	0.345	-0.1	0.038
15	11	0.4775352	0.345	-0.1	0.038
15	11	0.4826052	0.345	-0.1	0.038
15	11	0.4875243	0.345	-0.1	0.038
15	11	0.4922785	0.345	-0.1	0.038
15	11	0.4984683	0.345	-0.1	0.038
15	11	0.5045987	0.345	-0.1	0.038
15	11	0.5096635	0.345	-0.1	0.038
15	11	0.5156658	0.345	-0.1	0.038
15	11	0.5203501	0.345	-0.1	0.038
15	11	0.5253781	0.345	-0.1	0.038
15	11	0.5301563	0.345	-0.1	0.038
15	11	0.5344603	0.345	-0.1	0.038
15	11	0.5391288	0.345	-0.1	0.038
15	11	0.543722	0.345	-0.1	0.038
15	11	0.5604306	0.345	-0.1	0.038
15	11	0.5653213	0.345	-0.1	0.038
15	11	0.5701771	0.345	-0.1	0.038
15	11	0.5751556	0.345	-0.1	0.038
15	11	0.5794778	0.345	-0.1	0.038
15	11	0.5838284	0.345	-0.1	0.038
15	11	0.5884483	0.345	-0.1	0.038
15	11	0.5962279	0.345	-0.1	0.038
15	11	0.6006494	0.345	-0.1	0.038
15	11	0.6051934	0.345	-0.1	0.038
15	11	0.6099234	0.345	-0.1	0.038
15	11	0.6148348	0.345	-0.1	0.038
15	11	0.6192222	0.345	-0.1	0.038
15	11	0.6238865	0.345	-0.1	0.038
15	11	0.6289756	0.345	-0.1	0.038
15	11	0.633804	0.345	-0.1	0.038
15	11	0.6387723	0.345	-0.1	0.038
15	11	0.64355	0.345	-0.1	0.038
15	11	0.6484789	0.345	-0.1	0.038
15	11	0.653658	0.345	-0.1	0.038
15	11	0.658262	0.345	-0.1	0.038
15	11	0.6628166	0.345	-0.1	0.038
15	11	0.6678387	0.345	-0.1	0.038
15	11	0.672978	0.345	-0.1	0.038
15	11	0.6778028	0.345	-0.1	0.038
15	11	0.6828696	0.345	-0.1	0.038
15	11	0.6881171	0.345	-0.1	0.038
15	11	0.6928119	0.345	-0.1	0.038
15	11	0.6976605	0.345	-0.1	0.038
15	11	0.7023814	0.345	-0.1	0.038
15	11	0.7069007	0.345	-0.1	0.038
15	11	0.7112247	0.345	-0.1	0.038
15	11	0.7156613	0.345	-0.1	0.038
15	11	0.7200338	0.345	-0.1	0.038
15	11	0.7250712	0.345	-0.1	0.038
15	11	0.7296328	0.345	-0.1	0.038
15	11	0.7344899	0.345	-0.1	0.038
15	11	0.7389492	0.345	-0.1	0.038
15	11	0.7437866	0.345	-0.1	0.038
15	11	0.7488223	0.345	-0.1	0.038
15	11	0.7535594	0.345	-0.1	0.038
15	11	0.7581337	0.345	-0.1	0.038
15	11	0.7631073	0.345	-0.1	0.038
15	11	0.7681457	0.345	-0.1	0.038
15	11	0.7729722	0.345	-0.1	0.038
15	11	0.7781035	0.345	-0.1	0.038
15	11	0.7829975	0.345	-0.1	0.038
15	11	0.7878908	0.345	-0.1	0.038
15	11	0.7933266	0.345	-0.1	0.038
15	11	0.7984427	0.345	-0.1	0.038
15	11	0.8039156	0.345	-0.1	0.038
15	11	0.809	0.345	-0.1	0.038
15	11	0.8141933	0.345	-0.1	0.038
15	11	0.8189717	0.345	-0.1	0.038
15	11	0.8232926	0.345	-0.1	0.038
15	11	0.8279264	0.345	-0.1	0.038
15	11	0.832522	0.345	-0.1	0.038
15	11	0.8372295	0.345	-0.1	0.038
15	11	0.8420697	0.345	-0.1	0.038
15	11	0.8479462	0.345	-0.1	0.038
15	11	0.8524573	0.345	-0.1	0.038
15	11	0.8571798	0.345	-0.1	0.038
15	11	0.8620589	0.345	-0.1	0.038
15	11	0.8672469	0.345	-0.1	0.038
15	11	0.871531	0.345	-0.1	0.038
15	11	0.876488	0.345	-0.1	0.038
15	11	0.8810077	0.345	-0.1	0.038
15	11	0.8855939	0.345	-0.1	0.038
15	11	0.8903578	0.345	-0.1	0.038
15	11	0.8948273	0.345	-0.1	0.038
15	11	0.899616	0.345	-0.1	0.038
15	11	0.9047488	0.345	-0.1	0.038
15	11	0.9094157	0.345	-0.1	0.038
15	11	0.9138902	0.345	-0.1	0.038
15	11	0.9184815	0.345	-0.1	0.038
15	11	0.9232633	0.345	-0.1	0.038
15	11	0.9279742	0.345	-0.1	0.038
15	11	0.9323997	0.345	-0.1	0.038
15	11	0.9373178	0.345	-0.1	0.038
15	11	0.9418097	0.345	-0.1	0.038
15	11	0.9467049	0.345	-0.1	0.038
15	11	0.9512888	0.345	-0.1	0.038
