x	y	time
15	11	0.0599738
15	11	0.0677452
15	11	0.0746243
15	11	0.0813343
15	11	0.0906844
15	11	0.1008446
15	11	0.1123926
15	11	0.1228445
15	11	0.1340105
15	11	0.1455863
15	11	0.1607566
15	11	0.1698042
15	11	0.179307
15	11	0.1904905
15	11	0.2015198
15	11	0.2125504
15	11	0.2234894
15	11	0.2348578
15	11	0.245907
15	11	0.2568348
15	11	0.2682031
15	11	0.2791789
15	11	0.2904097
15	11	0.3020908
15	11	0.3159052
15	11	0.3245593
15	11	0.3353108
15	11	0.3466194
15	11	0.3577624
15	11	0.3691044
15	11	0.3801384
15	11	0.3912186
15	11	0.4023007
15	11	0.4138344
15	11	0.4246331
15	11	0.4361994
15	11	0.4470795
15	11	0.4597015
15	11	0.4758434
15	11	0.4835739
15	11	0.4918953
15	11	0.5031354
15	11	0.514258
15	11	0.5252438
15	11	0.5369427
15	11	0.547964
15	11	0.5592687
15	11	0.570167
15	11	0.5814681
15	11	0.5928272
15	11	0.6044244
15	11	0.6158911
15	11	0.6332678
15	11	0.6413502
15	11	0.6492736
15	11	0.6597446
15	11	0.6713263
15	11	0.6830303
15	11	0.6940665
15	11	0.7052248
15	11	0.7164736
15	11	0.7280021
15	11	0.7392668
15	11	0.7504684
15	11	0.761654
15	11	0.7731082
15	11	0.7849389
15	11	0.795224
15	11	0.8061321
15	11	0.8172016
15	11	0.8285558
15	11	0.8394226
15	11	0.8505418
15	11	0.861944
15	11	0.8726318
15	11	0.8840368
15	11	0.8953781
15	11	0.9064931
15	11	0.9174322
15	11	0.9294428
15	11	0.9461507
15	11	0.9534413
15	11	0.9627857
15	11	0.9740584
15	11	0.9850026
15	11	0.9964955
15	11	1.00768
15	11	1.019141
15	11	1.030283
15	11	1.041436
15	11	1.052659
15	11	1.063648
15	11	1.074823
15	11	1.086693
15	11	1.100151
15	11	1.10866
15	11	1.119333
15	11	1.130879
15	11	1.142232
15	11	1.153527
15	11	1.164711
15	11	1.17553
15	11	1.187056
15	11	1.197922
15	11	1.208946
15	11	1.220662
15	11	1.231684
15	11	1.24317
