x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.4888498	0.345	-0.1	0.038
15	11	0.4936964	0.345	-0.1	0.038
15	11	0.4991354	0.345	-0.1	0.038
15	11	0.504028	0.345	-0.1	0.038
15	11	0.5088049	0.345	-0.1	0.038
15	11	0.5132942	0.345	-0.1	0.038
15	11	0.5183406	0.345	-0.1	0.038
15	11	0.5224869	0.345	-0.1	0.038
15	11	0.5270528	0.345	-0.1	0.038
15	11	0.5322109	0.345	-0.1	0.038
15	11	0.5373701	0.345	-0.1	0.038
15	11	0.5417712	0.345	-0.1	0.038
15	11	0.5487486	0.345	-0.1	0.038
15	11	0.5552211	0.345	-0.1	0.038
15	11	0.5597034	0.345	-0.1	0.038
15	11	0.5643015	0.345	-0.1	0.038
15	11	0.5690033	0.345	-0.1	0.038
15	11	0.5734433	0.345	-0.1	0.038
15	11	0.578591	0.345	-0.1	0.038
15	11	0.5839723	0.345	-0.1	0.038
15	11	0.5889889	0.345	-0.1	0.038
15	11	0.5978107	0.345	-0.1	0.038
15	11	0.6032227	0.345	-0.1	0.038
15	11	0.608215	0.345	-0.1	0.038
15	11	0.6138085	0.345	-0.1	0.038
15	11	0.6181427	0.345	-0.1	0.038
15	11	0.6227427	0.345	-0.1	0.038
15	11	0.6273493	0.345	-0.1	0.038
15	11	0.632226	0.345	-0.1	0.038
15	11	0.6365515	0.345	-0.1	0.038
15	11	0.6412432	0.345	-0.1	0.038
15	11	0.645932	0.345	-0.1	0.038
15	11	0.6507938	0.345	-0.1	0.038
15	11	0.6553568	0.345	-0.1	0.038
15	11	0.6605912	0.345	-0.1	0.038
15	11	0.6661137	0.345	-0.1	0.038
15	11	0.6704208	0.345	-0.1	0.038
15	11	0.6757225	0.345	-0.1	0.038
15	11	0.6803188	0.345	-0.1	0.038
15	11	0.6849692	0.345	-0.1	0.038
15	11	0.6896539	0.345	-0.1	0.038
15	11	0.6946102	0.345	-0.1	0.038
15	11	0.6991394	0.345	-0.1	0.038
15	11	0.7035984	0.345	-0.1	0.038
15	11	0.7082829	0.345	-0.1	0.038
15	11	0.7128986	0.345	-0.1	0.038
15	11	0.7176251	0.345	-0.1	0.038
15	11	0.7225533	0.345	-0.1	0.038
15	11	0.7273012	0.345	-0.1	0.038
15	11	0.7322827	0.345	-0.1	0.038
15	11	0.7371871	0.345	-0.1	0.038
15	11	0.7417635	0.345	-0.1	0.038
15	11	0.7465274	0.345	-0.1	0.038
15	11	0.7515777	0.345	-0.1	0.038
15	11	0.7568552	0.345	-0.1	0.038
15	11	0.7617804	0.345	-0.1	0.038
15	11	0.7668309	0.345	-0.1	0.038
15	11	0.7720901	0.345	-0.1	0.038
15	11	0.7773405	0.345	-0.1	0.038
15	11	0.7825853	0.345	-0.1	0.038
15	11	0.7877911	0.345	-0.1	0.038
15	11	0.7937704	0.345	-0.1	0.038
