x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.1179886	0.345	-0.1	0.038
15	11	0.1299682	0.345	-0.1	0.038
15	11	0.1363466	0.345	-0.1	0.038
15	11	0.1514689	0.345	-0.1	0.038
15	11	0.1589513	0.345	-0.1	0.038
15	11	0.1660492	0.345	-0.1	0.038
15	11	0.1743395	0.345	-0.1	0.038
15	11	0.1829513	0.345	-0.1	0.038
15	11	0.1900222	0.345	-0.1	0.038
15	11	0.1997816	0.345	-0.1	0.038
15	11	0.2079486	0.345	-0.1	0.038
15	11	0.2205583	0.345	-0.1	0.038
15	11	0.2297035	0.345	-0.1	0.038
15	11	0.2341963	0.345	-0.1	0.038
15	11	0.243314	0.345	-0.1	0.038
15	11	0.2501656	0.345	-0.1	0.038
15	11	0.2611746	0.345	-0.1	0.038
15	11	0.2734662	0.345	-0.1	0.038
15	11	0.2884317	0.345	-0.1	0.038
15	11	0.2993305	0.345	-0.1	0.038
15	11	0.3053127	0.345	-0.1	0.038
15	11	0.318276	0.345	-0.1	0.038
15	11	0.3224188	0.345	-0.1	0.038
15	11	0.3356379	0.345	-0.1	0.038
15	11	0.3424339	0.345	-0.1	0.038
15	11	0.3499589	0.345	-0.1	0.038
15	11	0.3597288	0.345	-0.1	0.038
15	11	0.368861	0.345	-0.1	0.038
15	11	0.3768394	0.345	-0.1	0.038
15	11	0.3873157	0.345	-0.1	0.038
15	11	0.3971416	0.345	-0.1	0.038
15	11	0.404728	0.345	-0.1	0.038
15	11	0.4177729	0.345	-0.1	0.038
15	11	0.4258527	0.345	-0.1	0.038
15	11	0.4373477	0.345	-0.1	0.038
15	11	0.4468333	0.345	-0.1	0.038
15	11	0.4513117	0.345	-0.1	0.038
15	11	0.4648241	0.345	-0.1	0.038
15	11	0.4691085	0.345	-0.1	0.038
15	11	0.4832661	0.345	-0.1	0.038
15	11	0.4896542	0.345	-0.1	0.038
15	11	0.5023664	0.345	-0.1	0.038
15	11	0.5085844	0.345	-0.1	0.038
15	11	0.516888	0.345	-0.1	0.038
15	11	0.5278392	0.345	-0.1	0.038
15	11	0.5335952	0.345	-0.1	0.038
15	11	0.5489307	0.345	-0.1	0.038
15	11	0.5553308	0.345	-0.1	0.038
15	11	0.5685247	0.345	-0.1	0.038
15	11	0.5738716	0.345	-0.1	0.038
15	11	0.5845876	0.345	-0.1	0.038
15	11	0.5984435	0.345	-0.1	0.038
15	11	0.6033123	0.345	-0.1	0.038
15	11	0.6176694	0.345	-0.1	0.038
15	11	0.6254426	0.345	-0.1	0.038
15	11	0.6376908	0.345	-0.1	0.038
15	11	0.6490901	0.345	-0.1	0.038
15	11	0.6560025	0.345	-0.1	0.038
15	11	0.6663024	0.345	-0.1	0.038
15	11	0.6729476	0.345	-0.1	0.038
15	11	0.6862928	0.345	-0.1	0.038
15	11	0.69425	0.345	-0.1	0.038
15	11	0.7009166	0.345	-0.1	0.038
15	11	0.7162153	0.345	-0.1	0.038
15	11	0.7204965	0.345	-0.1	0.038
