time	x	y	z
9.459196	0.1532053	0.1453707	0.3431053
9.474442	0.1581515	0.1519905	0.4017739
9.484338	0.1479144	0.1600201	0.347639
9.499017	0.1387776	0.1679277	0.3017274
9.514904	0.173583	0.1918996	0.3098916
9.52815	0.2055953	0.2145116	0.3192278
9.54365	0.2353901	0.2360421	0.3294889
9.556929	0.2223938	0.2478871	0.3102067
9.568119	0.2117823	0.2598319	0.2942954
9.583164	0.1691777	0.1969242	0.2867222
9.596484	0.1134913	0.1877936	0.3194355
9.611684	0.0620232	0.1810249	0.351295
9.627186	0.01410605	0.1761467	0.3823407
9.641272	-0.03101758	0.1727663	0.4127409
9.649414	-0.04698823	0.214873	0.4338093
9.66574	-0.06365584	0.2540019	0.4552925
9.680455	-0.03325124	0.2492347	0.591133
9.69406	0.043689	0.1842307	0.8269644
9.71072	0.1146706	0.1235769	1.050222
9.72614	0.1808992	0.06639776	1.26341
9.735509	0.2433968	0.01194679	1.468689
9.748764	0.3156828	-0.215221	1.856845
9.764347	0.4056384	-0.778672	2.517494
9.777973	0.4915313	-1.307823	3.143536
9.792745	-1.398056	-2.694094	5.558697
9.809334	-1.398056	-2.694094	5.558697
9.819361	-1.398056	-2.694094	5.558697
9.832928	0.1901869	-0.1772579	0.2398601
9.846591	0.1901869	-0.1772579	0.2398601
9.861036	0.1872632	-0.1736328	0.2333581
9.877186	0.1844764	-0.1701775	0.2271605
9.891676	0.1818193	-0.166883	0.2212514
9.902899	0.1793723	-0.1596189	0.2191969
9.917884	0.1769917	-0.152717	0.2170661
9.93141	0.1778763	-0.1451617	0.219542
9.944527	0.1786178	-0.137886	0.2217026
9.960629	0.1792515	-0.1308095	0.2236209
9.976421	0.1812616	-0.1178652	0.2269531
9.98719	0.1830978	-0.1054873	0.230017
10.00385	0.1827263	-0.08991171	0.2297021
10.01181	0.1823764	-0.07491353	0.2294188
10.0283	0.1804051	-0.06128564	0.2304803
10.04285	0.1785253	-0.04790713	0.2314961
10.05933	0.1767287	-0.0348043	0.2324698
10.07211	0.1769446	-0.02356074	0.2332576
10.08521	0.1770779	-0.0123874	0.234029
10.09903	0.178092	-0.0006032353	0.2326543
10.11267	0.1790012	0.01112651	0.2313941
10.12718	0.1799471	0.02547434	0.2300322
10.14177	0.1799702	0.0365652	0.2259893
10.15356	0.1799967	0.04741834	0.2222868
10.16883	0.1776136	0.05541541	0.2144809
10.18137	0.1754355	0.06348954	0.2072538
10.19645	0.173476	0.07128006	0.2006923
10.21235	0.1721387	0.07519791	0.197527
10.22719	0.1708513	0.07954212	0.1943468
10.23698	0.1673393	0.0767706	0.1923494
10.25173	0.1640571	0.07491634	0.1902385
10.26526	0.162342	0.07187902	0.1892724
10.27872	0.1606559	0.06956407	0.1881349
10.29524	0.1589957	0.0678167	0.1868661
10.31275	0.1586444	0.06120186	0.1897243
10.32346	0.1581903	0.05542199	0.1921149
10.33147	0.1590076	0.0425598	0.1973547
10.34749	0.1596463	0.03087613	0.2020299
10.36304	0.1601457	0.0204483	0.206143
10.37746	0.1605077	0.006449474	0.210257
10.39271	0.1607841	-0.006623571	0.2140795
10.40754	0.1624748	-0.02114728	0.222563
10.4155	0.1639893	-0.03494284	0.2304644
10.43065	0.1645628	-0.0486487	0.2334158
10.44589	0.1650885	-0.06186292	0.2363514
10.46142	0.1655743	-0.07468719	0.2392602
10.47642	0.1650915	-0.08478882	0.2367344
10.49226	0.1646678	-0.09486148	0.2346765
10.50168	0.1645677	-0.1039945	0.2330403
10.51332	0.1644818	-0.1131834	0.2316907
10.5292	0.1644071	-0.1224024	0.2305662
10.54473	0.1658491	-0.1318764	0.2344764
10.55951	0.1671611	-0.1413583	0.2380848
10.57441	0.1666761	-0.1411786	0.2362289
10.58254	0.166255	-0.141824	0.2346327
10.59998	0.1658333	-0.1418357	0.2345903
10.61415	0.165456	-0.1424377	0.2345991
10.62743	0.1651127	-0.1435198	0.2346494
10.6424	0.1646451	-0.1406682	0.2336403
10.65794	0.1642123	-0.1385013	0.232755
10.66683	0.1643773	-0.133055	0.2331856
10.68275	0.1645177	-0.1283092	0.2335947
10.69673	0.1646375	-0.1241543	0.2339835
10.71169	0.165326	-0.1166186	0.2360095
10.72728	0.1659465	-0.1097567	0.2378666
10.74137	0.1650611	-0.0977872	0.2352823
10.74968	0.164258	-0.08673058	0.2329621
10.76864	0.1636282	-0.07606579	0.2316495
10.77824	0.163041	-0.06599366	0.2304389
10.79381	0.1624927	-0.05643528	0.2293152
10.81104	0.1629461	-0.04677961	0.2287517
10.82567	0.1633336	-0.0374658	0.228195
10.83281	0.1620858	-0.02967366	0.2229595
10.84873	0.1609286	-0.02199266	0.2181173
10.86465	0.1598403	-0.01438665	0.2135753
10.87756	0.1603324	-0.009929739	0.2121349
10.8929	0.160727	-0.005251272	0.2106247
10.90863	0.1620729	-0.001289717	0.2100893
10.91813	0.1632723	0.002890699	0.2094213
10.93309	0.1631796	0.005802136	0.2055968
10.9458	0.1630884	0.00893893	0.2019453
10.96245	0.1629921	0.01226702	0.1984102
10.97734	0.1608092	0.01181092	0.1950577
10.99148	0.1588098	0.01182505	0.1917706
11.00377	0.1580874	0.01003312	0.1948628
11.01814	0.157387	0.008709818	0.1974826
11.03082	0.1567041	0.007754296	0.1997309
11.04398	0.1557555	0.005504784	0.2001543
11.06001	0.1548448	0.003631895	0.2004856
11.07598	0.1543139	0.0003229727	0.2000722
11.08626	0.1537755	-0.002611189	0.1996593
11.10309	0.1537866	-0.006574277	0.1999617
11.11202	0.1537513	-0.01018673	0.2002086
11.12778	0.1536827	-0.01353669	0.2004273
11.14269	0.1552586	-0.01583214	0.2061275
11.15935	0.1566636	-0.01803869	0.2113146
11.17222	0.1579131	-0.01883003	0.2137934
11.18169	0.1590641	-0.01967927	0.216153
11.19913	0.1601309	-0.02056983	0.2184058
11.21251	0.1613917	-0.02090486	0.2183289
11.22748	0.1625778	-0.02131912	0.2183907
11.24201	0.163311	-0.02157747	0.2180241
11.25511	0.1640316	-0.02190385	0.2177902
11.26565	0.16406	-0.02188803	0.2166761
11.2812	0.1641321	-0.02194324	0.2157233
11.29572	0.16424	-0.02205622	0.2148948
11.31146	0.164497	-0.02139069	0.2151605
11.32732	0.1643295	-0.02105588	0.21511
11.33743	0.1645439	-0.02095146	0.2156416
11.35008	0.1647597	-0.02088957	0.2161386
